AIRSTRIPS,X,Y,A1,H1,MAX TANKERS,MAX HELIS,,,,,,,,,,,,,,
20,30,190,100,2,45.95,29.1651426603,30.6636363636,0,0,0,13.8128446066,2.6643464128,20,180,20,200,40,200,40,180
21,50,10,100,1,45.16,29.1904694405,30.2181818182,0,0,0,-17.4714952085,-33.5305566906,40,0,40,20,60,20,60,0
22,50,30,100,2,73.15,23.8659736393,24.6302816901,1,0,0,-10.8253966391,-4.814462696,40,20,40,40,60,40,60,20
23,50,50,100,2,76.1,25.5550501818,26.3820422535,1,0,0,-10.9346944462,-16.2159687511,40,40,40,60,60,60,60,40
24,50,70,100,2,116.05,19.3687655355,20.3080985915,1,0,0,2.7632937755,-25.5187598615,40,60,40,80,60,80,60,60
25,50,90,100,2,74.99,21.9212053626,23.4507042254,1,0,0,21.1985129112,0.5890447771,40,80,40,100,60,100,60,80
26,50,110,100,2,74.75,25.3653130063,25.3785211268,1,0,0,8.9212243229,-7.428019468,40,100,40,120,60,120,60,100
27,50,130,100,2,44.43,29.2002927353,29.5,0,0,0,12.1433271681,-9.2739568618,40,120,40,140,60,140,60,120
28,50,150,100,2,44.07,28.9641006173,29.0181818182,0,0,0,-2.6373238571,-10.2141705747,40,140,40,160,60,160,60,140
29,50,170,100,1,46.46,28.8132581691,29.9272727273,0,0,0,0.2868965944,12.3341131558,40,160,40,180,60,180,60,160
30,50,190,100,2,46.63,26.8141700711,28.1090909091,0,0,0,6.5389572925,0.3723283594,40,180,40,200,60,200,60,180
31,70,10,100,1,75.5,25.4661512623,25.6866197183,1,0,0,-15.5970481743,10.1184524147,60,0,60,20,80,20,80,0
32,70,30,100,2,74.16,23.3575609693,24.1197183099,1,0,0,-5.8176127728,1.8517623669,60,20,60,40,80,40,80,20
33,70,50,100,2,115.26,19.3701834686,20.5281690141,1,0,0,-4.6357712154,13.8999377412,60,40,60,60,80,60,80,40
34,70,70,100,1,113.45,21.1541885856,22.6672535211,1,0,0,14.7150431585,26.3882776477,60,60,60,80,80,80,80,60
35,70,90,100,1,74.18,25.4215326522,25.6338028169,1,0,0,12.9181497387,-11.7335542,60,80,60,100,80,100,80,80
36,70,110,100,1,75.22,25.2677929114,25.6690140845,1,0,0,-5.7031401851,4.0088758887,60,100,60,120,80,120,80,100
37,70,130,100,3,74.55,22.150109217,23.6531690141,1,0,0,23.4203289945,-2.696533662,60,120,60,140,80,140,80,120
38,70,150,100,2,44.48,27.7863474358,27.9818181818,0,0,0,3.7908335528,11.037628872,60,140,60,160,80,160,80,140
39,70,170,100,2,45.09,27.1984145549,28.4454545455,0,0,0,-5.9502813134,6.6063356395,60,160,60,180,80,180,80,160
40,70,190,100,2,46.44,26.8587640856,28.0363636364,0,0,0,14.2505318436,2.4133285387,60,180,60,200,80,200,80,180
41,90,10,100,2,116.31,20.8859875515,20.9595070423,1,0,0,-2.0555165567,-32.1708863459,80,0,80,20,100,20,100,0
42,90,30,100,3,116.49,20.2778422497,21.1531690141,1,0,0,26.6424766613,-18.1571288679,80,20,80,40,100,40,100,20
43,90,50,100,1,74.64,23.7163458224,23.8116197183,1,0,0,-2.9501386447,-2.3905560923,80,40,80,60,100,60,100,40
44,90,70,100,3,75.01,23.9855509166,24.5774647887,1,0,0,-1.1779506332,2.1066736693,80,60,80,80,100,80,100,60
45,90,90,100,1,75.53,21.9716274737,23.3450704225,1,0,0,2.6016929163,-8.8922073406,80,80,80,100,100,100,100,80
46,90,110,100,3,75.01,23.3398452807,23.5475352113,1,0,0,0.1773319226,7.8708254315,80,100,80,120,100,120,100,100
47,90,130,100,2,45.58,29.1167129064,29.5181818182,0,0,0,9.3229331335,26.1121668829,80,120,80,140,100,140,100,120
48,90,150,100,1,44.36,28.5925043979,28.9454545455,0,0,0,-9.3518266933,5.9673473891,80,140,80,160,100,160,100,140
49,90,170,100,2,44.45,28.4422484852,29.4,0,0,0,14.2660674322,0.1411592296,80,160,80,180,100,180,100,160
50,90,190,100,2,44.9,27.1215606563,28.2363636364,0,0,0,-9.5005641464,4.0519073253,80,180,80,200,100,200,100,180
51,110,10,100,1,75.21,24.8236752409,26.25,1,0,0,0.0805909812,20.530821782,100,0,100,20,120,20,120,0
52,110,30,100,2,74.88,24.4200675789,24.7887323944,1,0,0,16.7473682886,10.4120442751,100,20,100,40,120,40,120,20
53,110,50,100,2,76.1,25.3383448159,25.5721830986,1,0,0,10.1412234799,14.5619553202,100,40,100,60,120,60,120,40
54,110,70,100,1,74.55,24.7261627239,26.338028169,1,0,0,-2.4077148413,20.8072584073,100,60,100,80,120,80,120,60
55,110,90,100,2,44.05,28.028469067,28.1545454545,0,0,0,4.0540806464,11.3260087277,100,80,100,100,120,100,120,80
56,110,110,100,3,45.88,27.6836576028,29.1454545455,0,0,0,5.9388629525,6.9053720462,100,100,100,120,120,120,120,100
57,110,130,100,3,45.12,28.0128183097,29.6909090909,0,0,0,-0.8047306123,-8.1494693573,100,120,100,140,120,140,120,120
58,110,150,100,2,45.21,27.4949611775,28.3090909091,0,0,0,-6.9118618118,-5.3441915944,100,140,100,160,120,160,120,140
59,110,170,100,2,45.35,29.0572990499,29.2636363636,0,0,0,19.1317965013,2.5735817017,100,160,100,180,120,180,120,160
60,110,190,100,2,46.66,28.8227891567,29.5181818182,0,0,0,6.0945855552,-8.5695685211,100,180,100,200,120,200,120,180
61,130,10,100,2,44.37,29.2721377943,30.5636363636,0,0,0,1.4837194093,41.5033305643,120,0,120,20,140,20,140,0
62,130,30,100,2,43.63,29.734224642,31.1090909091,0,0,0,-1.8880564016,20.3032793131,120,20,120,40,140,40,140,20
63,130,50,100,3,43.34,27.8596953184,28.8181818182,0,0,0,4.8549218097,3.0425798413,120,40,120,60,140,60,140,40
64,130,70,100,3,46.48,28.32355539,28.7181818182,0,0,0,2.5953337432,-4.9824317892,120,60,120,80,140,80,140,60
65,130,90,100,1,43.7,28.5250410367,29.3363636364,0,0,0,-6.4111169228,1.0782353736,120,80,120,100,140,100,140,80
66,130,110,100,1,45.24,29.9000178243,30.1,0,0,0,-6.3053350614,-5.8947919323,120,100,120,120,140,120,140,100
67,130,130,100,1,45.21,26.4378250808,28.1181818182,0,0,0,1.7844371243,-1.6092266537,120,120,120,140,140,140,140,120
68,130,150,100,3,45,27.4826669612,28.5909090909,0,0,0,0.406168389,-8.3678652926,120,140,120,160,140,160,140,140
69,130,170,100,2,45.16,27.7240320742,28.1,0,0,0,7.6384596084,-14.8795885438,120,160,120,180,140,180,140,160
70,130,190,100,3,45.97,29.1477559792,29.4181818182,0,0,0,-1.2164009982,1.7739563884,120,180,120,200,140,200,140,180
71,150,10,100,3,44.63,29.3021173488,29.3272727273,0,0,0,3.6410441412,-22.8274728986,140,0,140,20,160,20,160,0
72,150,30,100,1,46.95,27.2885017862,27.7090909091,0,0,0,-3.3847359632,-1.8537569717,140,20,140,40,160,40,160,20
73,150,50,100,2,46.91,27.563711743,28.2909090909,0,0,0,-6.2236190579,-1.0780320013,140,40,140,60,160,60,160,40
74,150,70,100,1,43.59,29.4556845717,29.7272727273,0,0,0,3.1222794034,-2.1742755374,140,60,140,80,160,80,160,60
75,150,90,100,1,44.87,26.9809966202,28.5090909091,0,0,0,-2.3097314749,0.2101570212,140,80,140,100,160,100,160,80
76,150,110,100,1,43.58,28.8042570725,29.4181818182,0,0,0,13.6432844841,3.2653232924,140,100,140,120,160,120,160,100
77,150,130,100,2,44.81,27.0980843953,28.7545454545,0,0,0,-3.3393709907,2.0970945669,140,120,140,140,160,140,160,120
78,150,150,100,1,44.44,27.0620405652,28.6454545455,0,0,0,-16.7043856668,-7.8215513602,140,140,140,160,160,160,160,140
79,150,170,100,1,74.99,25.777321325,25.8098591549,1,0,0,2.1286221949,-19.6143660813,140,160,140,180,160,180,160,160
80,150,190,100,3,45.42,31.8179441932,32.0818181818,0,0,0,5.2444071141,1.7807811928,140,180,140,200,160,200,160,180
81,170,10,100,1,44.46,26.6916965089,27.1181818182,0,0,0,16.6301504666,14.7680437243,160,0,160,20,180,20,180,0
82,170,30,100,2,45.11,28.2660288484,28.4454545455,0,0,0,1.8061534738,2.432145407,160,20,160,40,180,40,180,20
83,170,50,100,2,42.86,29.9030962691,30.1454545455,0,0,0,5.5463456203,-13.3632419008,160,40,160,60,180,60,180,40
84,170,70,100,2,46.28,27.7839254166,28.2636363636,0,0,0,-1.3148283244,5.4714298365,160,60,160,80,180,80,180,60
85,170,90,100,1,43.55,28.9339798654,29.0636363636,0,0,0,-1.8106270831,-4.3048582837,160,80,160,100,180,100,180,80
86,170,110,100,1,45.87,28.6740006275,30.2181818182,0,0,0,4.2348138726,-3.987074105,160,100,160,120,180,120,180,100
87,170,130,100,1,45.15,27.8949430663,29.1636363636,0,0,0,-17.6297970368,-6.4846239395,160,120,160,140,180,140,180,120
88,170,150,100,2,74.79,23.9382770665,25.1320422535,1,0,0,-22.0022246537,-13.8056619695,160,140,160,160,180,160,180,140
89,170,170,100,2,116.01,21.5691468594,22.1919014085,1,0,0,15.5874482187,-24.1842103898,160,160,160,180,180,180,180,160
90,170,190,100,1,44.59,27.8289261539,29.0454545455,0,0,0,17.9270442762,-8.2867103726,160,180,160,200,180,200,180,180
91,190,10,100,2,42.74,29.6314531644,29.8454545455,0,0,0,-13.507427362,-4.2069540784,180,0,180,20,200,20,200,0
92,190,30,100,1,46.72,27.2652833813,28.3363636364,0,0,0,7.3072474712,8.611525003,180,20,180,40,200,40,200,20
93,190,50,100,1,45.41,28.4721769288,29.5363636364,0,0,0,-4.5060497751,-12.6699730478,180,40,180,60,200,60,200,40
94,190,70,100,1,45.55,28.9196618877,29.8454545455,0,0,0,-6.3019301005,-4.7370407852,180,60,180,80,200,80,200,60
95,190,90,100,2,44.98,28.4063352195,28.7727272727,0,0,0,-6.1030193498,3.0082319141,180,80,180,100,200,100,200,80
96,190,110,100,2,44.19,28.8963915618,29.2272727273,0,0,0,0.406868939,-9.0972220387,180,100,180,120,200,120,200,100
97,190,130,100,2,44.83,28.9276266819,29.9181818182,0,0,0,-11.4826029299,10.2739750316,180,120,180,140,200,140,200,120
98,190,150,100,2,76.94,24.9669035436,25.4137323944,1,0,0,-3.4034498545,23.8654151984,180,140,180,160,200,160,200,140
99,190,170,100,3,74.73,26.2737424477,26.5492957746,1,0,0,2.9558694544,21.8651088213,180,160,180,180,200,180,200,160
100,190,190,100,1,74.89,25.0010178696,25.2728873239,1,0,0,30.920132145,16.1057322733,180,180,180,200,200,200,200,180
,,,,,,,,,,,,,,,,,,,,
FIRES,X,Y,AREA,START,INITIAL_SIZE,PATCH_ID,,,,,,,,,,,,,,
1,5,115,10.9380693308,-126.375074713,10.9380693308,6,,,,,,,,,,,,,,
2,5,175,21.2063543475,-229.0466859087,21.2063543475,9,,,,,,,,,,,,,,
3,85,95,2.7139376702,-28.6271662063,2.7139376702,45,,,,,,,,,,,,,,
4,85,115,6.1706872954,-63.7149273195,6.1706872954,47,,,,,,,,,,,,,,
5,85,135,0.9181459768,-8.9621116256,0.9181459768,48,,,,,,,,,,,,,,
6,195,85,10.4867933052,-118.4769976164,10.4867933052,95,,,,,,,,,,,,,,
7,195,125,2.3084014995,-23.2657642744,2.3084014995,97,,,,,,,,,,,,,,
